SKU,Hero Image,URL,Product Type,MSRP,Title,Decription,Collection,Metal Type1,Metal Type2,Metal Type 3,GemType1,GemType2,GemType3,GemType4
PBC5110_O1000_00000,https://media.pomellato.com/media/catalog/product/P/B/PBC5110_O1000_00000_10.jpg,https://www.pomellato.com/us_en/iconica-bracelet-pbc5110-o1000-00000?size=5,Bracelet,8750,Iconica Bracelet,,Iconica,18k Yellow Gold,,,,,,
POC5111_O1000_00000,https://media.pomellato.com/media/catalog/product/P/O/POC5111_O1000_00000_10_1.jpg,https://www.pomellato.com/us_en/iconica-earrings-poc5111-o1000-00000?size=193,Earrings,5050,Iconica Earrings,,Iconica,18k Yellow Gold,,,,,,
POC5060_O7WHR_DB000,https://media.pomellato.com/media/catalog/product/P/O/POC5060_O7WHR_DB000_10.jpg,https://www.pomellato.com/us_en/iconica-earrings-poc5060-o7whr-db000?size=152,Earrings,9250,Iconica Earrings,,Iconica,18k Rose Gold,,,Diamond,,,
POC5061_O7WHR_DB000,https://media.pomellato.com/media/catalog/product/P/O/POC5061_O7WHR_DB000_10.jpg,https://www.pomellato.com/us_en/iconica-earrings-poc5061-o7whr-db000?size=152,Earrings,18050,Iconica Earrings,,Iconica,18k Rose Gold,,,Diamond,,,
PCC5001_O7WHR_DB000,https://media.pomellato.com/media/catalog/product/P/C/PCC5001_O7WHR_DB000_10.jpg,https://www.pomellato.com/us_en/iconica-necklace-pcc5001-o7whr-db000?size=162,Necklace,10600,Iconica Necklace,,Iconica,18k Rose Gold,,,Diamond,,,
PCC5110_O1000_00000,https://media.pomellato.com/media/catalog/product/P/C/PCC5110_O1000_00000_10.jpg,https://www.pomellato.com/us_en/iconica-necklace-pcc5110-o1000-00000?size=41,Necklace,17500,Iconica Necklace,,Iconica,18k Yellow Gold,,,,,,
PCC5020_O6WHR_DB0TL,https://media.pomellato.com/media/catalog/product/P/C/PCC5020_O6WHR_DB0TL_10.jpg,https://www.pomellato.com/us_en/nudo-mini-necklace-with-pendant-pcc5020-o6whr-db0tl?size=154,Necklace,2900,Nudo Mini Necklace With Pendant,,Nudo,18k Rose Gold,,,Blue London Topaz,Diamond,,
PAC4020_O6WHR_DB0TL,https://media.pomellato.com/media/catalog/product/P/A/PAC4020_O6WHR_DB0TL_10.jpg,https://www.pomellato.com/us_en/nudo-ring-pac4020-o6whr-db0tl?size=19,Ring,8650,Nudo Ring,,Nudo,18k Rose Gold,,,Blue London Topaz,Diamond,,
POC4020_O6WHR_DB0TL,https://media.pomellato.com/media/catalog/product/P/O/POC4020_O6WHR_DB0TL_10.jpg,https://www.pomellato.com/us_en/nudo-earrings-poc4020-o6whr-db0tl?size=152,Earrings,14500,Nudo Earrings,,Nudo,18k Rose Gold,,,Blue London Topaz,Diamond,,
POC4020_O6WHR_DB0TB,https://media.pomellato.com/media/catalog/product/P/O/POC4020_O6WHR_DB0TB_10.jpg,https://www.pomellato.com/us_en/nudo-earrings-poc4020-o6whr-db0tb?size=152,Earrings,13000,Nudo Earrings,,Nudo,18k Rose Gold,,,White Topaz,Diamond,,
